mechanism,variable,replicate,a_boot,b_boot,ab_boot
增量关税优惠幅度,tariff_relief,40,0.22240859638780294,0.036104984471457456,0.008030058918900275
增量关税优惠幅度,tariff_relief,41,0.21624232084852923,0.06873076588270902,0.014862500328173909
增量关税优惠幅度,tariff_relief,42,0.21516010908370295,0.07133546737781721,0.015348546942548084
增量关税优惠幅度,tariff_relief,43,0.2211953951864225,0.07606682318177381,0.01682563101426818
增量关税优惠幅度,tariff_relief,44,0.21680974521036947,0.07279200751396717,0.01578201660245452
增量关税优惠幅度,tariff_relief,45,0.217734774074886,0.05549120453079655,0.012082364881656277
增量关税优惠幅度,tariff_relief,46,0.2184863062750414,0.06529667889707454,0.01426643018424926
增量关税优惠幅度,tariff_relief,47,0.2175239486587337,0.06462795040155722,0.014058126965067521
增量关税优惠幅度,tariff_relief,48,0.21793859992702014,0.07844809451119968,0.017096867884713412
增量关税优惠幅度,tariff_relief,49,0.21742739769151206,0.08346794093737551,0.018148217188682387
增量关税优惠幅度,tariff_relief,50,0.21852005009493308,0.06596772214534223,0.014415269947848811
增量关税优惠幅度,tariff_relief,51,0.21925603976548377,0.05023030455284592,0.011013297652471145
增量关税优惠幅度,tariff_relief,52,0.2244960839844251,0.046778812627735956,0.010501660248367897
增量关税优惠幅度,tariff_relief,53,0.21626400700084325,0.07809956258060272,0.01689012434869426
增量关税优惠幅度,tariff_relief,54,0.21566362346585163,0.06193373317538451,0.013356853311370648
增量关税优惠幅度,tariff_relief,55,0.22301038057910674,0.09973842627085863,0.02224270440102536
增量关税优惠幅度,tariff_relief,56,0.21855439185963674,0.06807423962797282,0.014877924043198784
增量关税优惠幅度,tariff_relief,57,0.2175440214875245,0.055324988235280814,0.01203562042945297
增量关税优惠幅度,tariff_relief,58,0.21543901912800753,0.04925217936843153,0.010610841213051577
增量关税优惠幅度,tariff_relief,59,0.22009047088513534,0.06792520903243704,0.014949691240920316
增量关税优惠幅度,tariff_relief,60,0.21787754880361712,0.06853286786009956,0.014931773261840685
增量关税优惠幅度,tariff_relief,61,0.2174516036809776,0.06661005316267782,0.014484462881499465
增量关税优惠幅度,tariff_relief,62,0.21919029166884904,0.06510205404803106,0.014269738215029103
增量关税优惠幅度,tariff_relief,63,0.22105751617075944,0.05568075317047664,0.012308648994382705
增量关税优惠幅度,tariff_relief,64,0.2154268069017693,0.056804019871336354,0.012237108620066642
增量关税优惠幅度,tariff_relief,65,0.21807916180210868,0.08314956262964067,0.018133186922483977
增量关税优惠幅度,tariff_relief,66,0.21707401444002122,0.08290717979723265,0.017996994344485918
增量关税优惠幅度,tariff_relief,67,0.21626958336910637,0.09076647140676013,0.01963002695502392
增量关税优惠幅度,tariff_relief,68,0.21992649328220426,0.08237771655010342,0.01811704232545965
增量关税优惠幅度,tariff_relief,69,0.220632420296456,0.05804560861952448,0.012806743117306514
增量关税优惠幅度,tariff_relief,70,0.22030364344402462,0.0682393894511439,0.01503338612248274
增量关税优惠幅度,tariff_relief,71,0.2164757360991878,0.0665620959595211,0.014409078719142104
增量关税优惠幅度,tariff_relief,72,0.21368468134294194,0.06647368823475423,0.014204408888133527
增量关税优惠幅度,tariff_relief,73,0.21889332346794596,0.05772996882745048,0.012636704740341556
增量关税优惠幅度,tariff_relief,74,0.22404312369279772,0.058458004756475196,0.01309711399048913
增量关税优惠幅度,tariff_relief,75,0.2212047304140591,0.0745323323494443,0.016486904484489882
增量关税优惠幅度,tariff_relief,76,0.2204499384328087,0.07376287019357314,0.016261020192800457
增量关税优惠幅度,tariff_relief,77,0.21688070745082633,0.07136360276502304,0.015477388653917944
增量关税优惠幅度,tariff_relief,78,0.21649469143743816,0.07130685675592723,0.015437555950748067
增量关税优惠幅度,tariff_relief,79,0.2165797307604807,0.05835340242708252,0.012638164186615513
增量关税优惠幅度,tariff_relief,80,0.22053775196845013,0.08755684907609802,0.01930959066468353
增量关税优惠幅度,tariff_relief,81,0.21837348476449592,0.09224923141550555,0.02014478613105036
增量关税优惠幅度,tariff_relief,82,0.21981883818659467,0.07079671910039798,0.015562452540072179
增量关税优惠幅度,tariff_relief,83,0.21922929442796962,0.047886409639656166,0.010498103797990545
增量关税优惠幅度,tariff_relief,84,0.21744680022609764,0.046944355744917086,0.010207899945407845
增量关税优惠幅度,tariff_relief,85,0.21642376231398688,0.07821983980322003,0.01692863201781022
增量关税优惠幅度,tariff_relief,86,0.21575876383121934,0.06594693693896225,0.01422862959240587
增量关税优惠幅度,tariff_relief,87,0.22071214148290266,0.08820603006085226,0.01946814178643599
增量关税优惠幅度,tariff_relief,88,0.2183305296257984,0.07846182259883812,0.017130611283409765
增量关税优惠幅度,tariff_relief,89,0.22068594903074756,0.057221385404873495,0.012627955742928675
增量关税优惠幅度,tariff_relief,90,0.2218411294639563,0.06501467995714473,0.014422930033430629
增量关税优惠幅度,tariff_relief,91,0.21607464894762113,0.055284719600497426,0.011945626379845151
增量关税优惠幅度,tariff_relief,92,0.2148057854367853,0.07349875481455419,0.015787957756566016
增量关税优惠幅度,tariff_relief,93,0.22040209970390928,0.05696277345881397,0.012554714875280714
增量关税优惠幅度,tariff_relief,94,0.21662585864007855,0.0701825742448333,0.015203360407358077
增量关税优惠幅度,tariff_relief,95,0.2189201569035803,0.06480253967646488,0.014186582153722179
增量关税优惠幅度,tariff_relief,96,0.21709734834732075,0.07348962286960403,0.015954402256035657
增量关税优惠幅度,tariff_relief,97,0.2186359547925939,0.06002750038531258,0.013124169860555614
增量关税优惠幅度,tariff_relief,98,0.22023858156350345,0.07899537145082469,0.017397828558411706
增量关税优惠幅度,tariff_relief,99,0.21643363759186848,0.08124675090660582,0.017584529841237137
增量关税优惠幅度,tariff_relief,100,0.2189273825514755,0.07050404090184882,0.015435265133943932
增量关税优惠幅度,tariff_relief,101,0.2160701697402136,0.059389771437879414,0.012832357995415093
增量关税优惠幅度,tariff_relief,102,0.21870290955066146,0.06526332769255987,0.0142732796533211
增量关税优惠幅度,tariff_relief,103,0.21870191110710596,0.058615156725520944,0.012819246795713966
增量关税优惠幅度,tariff_relief,104,0.2180873819430623,0.07193943374548221,0.015689082764018605
增量关税优惠幅度,tariff_relief,105,0.21607876608395643,0.06487224811642524,0.014017515326089433
增量关税优惠幅度,tariff_relief,106,0.21905035897614122,0.07498924274891934,0.016426420543499777
增量关税优惠幅度,tariff_relief,107,0.21960508841409299,0.059689920141545,0.013108210190114138
增量关税优惠幅度,tariff_relief,108,0.219282286586878,0.07199081210261765,0.01578630989110829
增量关税优惠幅度,tariff_relief,109,0.221915305491367,0.056171320723020036,0.012465275798102545
增量关税优惠幅度,tariff_relief,110,0.2219454452882547,0.06527407869120515,0.014487284460900104
增量关税优惠幅度,tariff_relief,111,0.2207510742239739,0.09391648319188645,0.020732164551946722
增量关税优惠幅度,tariff_relief,112,0.21556212662522067,0.06607758489967691,0.014243824723232924
增量关税优惠幅度,tariff_relief,113,0.21986378236411197,0.08258458341499224,0.018157358874584705
增量关税优惠幅度,tariff_relief,114,0.21903485904688116,0.08027172600922025,0.01758230619187942
增量关税优惠幅度,tariff_relief,115,0.21917369877356357,0.046492315106624736,0.010189892666464969
增量关税优惠幅度,tariff_relief,116,0.21922295607831244,0.05689569349561264,0.012472842116233816
增量关税优惠幅度,tariff_relief,117,0.21802029463667846,0.04221396097593354,0.009203500209754276
增量关税优惠幅度,tariff_relief,118,0.21940685001365678,0.05989060230295625,0.013140408396712289
增量关税优惠幅度,tariff_relief,119,0.21438840431244197,0.08805567904979271,0.018878116522133583
增量关税优惠幅度,tariff_relief,120,0.21740349549500998,0.07394993897721938,0.016076975225290176
增量关税优惠幅度,tariff_relief,121,0.2156429082503111,0.06602380825111959,0.014237566025032313
增量关税优惠幅度,tariff_relief,122,0.22102772133261508,0.05669919171910419,0.012532093147074678
增量关税优惠幅度,tariff_relief,123,0.21872483870154547,0.0808546478636177,0.01768491981224004
增量关税优惠幅度,tariff_relief,124,0.22195408636912609,0.07646571698413815,0.01697187835177455
增量关税优惠幅度,tariff_relief,125,0.2184221916828741,0.06770727516596643,0.014788771434625822
增量关税优惠幅度,tariff_relief,126,0.21663574803494257,0.07406935948261538,0.016046071097985448
增量关税优惠幅度,tariff_relief,127,0.2183570973301461,0.0710204736469749,0.015507824476565575
增量关税优惠幅度,tariff_relief,128,0.22268738408973032,0.07797477457587372,0.01736399857528773
增量关税优惠幅度,tariff_relief,129,0.2149573577334524,0.07424651806698385,0.015959835344587885
增量关税优惠幅度,tariff_relief,130,0.21838882778545357,0.059477475419707014,0.012989216136547943
增量关税优惠幅度,tariff_relief,131,0.2171788470939002,0.06353563325260367,0.013798595579181333
增量关税优惠幅度,tariff_relief,132,0.21730219108503296,0.0874507646507708,0.019003242770674042
增量关税优惠幅度,tariff_relief,133,0.22063789046518129,0.07998214062157566,0.017647090781633935
增量关税优惠幅度,tariff_relief,134,0.21883559852372872,0.07422188910656095,0.01624239152619609
增量关税优惠幅度,tariff_relief,135,0.21723787154756982,0.05930227769447966,0.012882700584271687
增量关税优惠幅度,tariff_relief,136,0.21739137274390108,0.05325737633864593,0.011577694150996796
增量关税优惠幅度,tariff_relief,137,0.2136624120497007,0.040781472192264114,0.008713467715536946
增量关税优惠幅度,tariff_relief,138,0.21838831920504295,0.05412200969030287,0.01181961472826429
增量关税优惠幅度,tariff_relief,139,0.22362221243556926,0.09473821697891288,0.021185569683025512
增量关税优惠幅度,tariff_relief,140,0.2194475563046437,0.07223789236027374,0.01585242895105996
增量关税优惠幅度,tariff_relief,141,0.21666815239491416,0.06997921048190846,0.015162266241169916
增量关税优惠幅度,tariff_relief,142,0.22173961274334344,0.06846783004026503,0.015182030118505425
增量关税优惠幅度,tariff_relief,143,0.21904709627294808,0.09405287444205511,0.020602009042656345
增量关税优惠幅度,tariff_relief,144,0.221117319484484,0.06024790751927372,0.013321855815210892
增量关税优惠幅度,tariff_relief,145,0.2204584191129317,0.06064521954438227,0.013369749227511184
增量关税优惠幅度,tariff_relief,146,0.21699453716889539,0.08198281587247436,0.017789823186050345
增量关税优惠幅度,tariff_relief,147,0.22146013782923435,0.07589795793549835,0.016808372225352895
增量关税优惠幅度,tariff_relief,148,0.21756649595474384,0.06624569178114371,0.014412843032921412
增量关税优惠幅度,tariff_relief,149,0.2195722047803331,0.08503251026419358,0.018670775756715288
增量关税优惠幅度,tariff_relief,150,0.21661867634901286,0.04193712306036078,0.009084364087221014
增量关税优惠幅度,tariff_relief,151,0.22123897215246704,0.07851695485113766,0.01737101038780736
增量关税优惠幅度,tariff_relief,152,0.21828328593876753,0.08271116098114242,0.018054464002774145
增量关税优惠幅度,tariff_relief,153,0.21808419933969633,0.0385123562181506,0.00839893637052055
增量关税优惠幅度,tariff_relief,154,0.21515316622208935,0.07264573930058224,0.01562996082306474
增量关税优惠幅度,tariff_relief,155,0.22214524637330138,0.06788898600526232,0.015081215522172607
增量关税优惠幅度,tariff_relief,156,0.21870570074470871,0.07653450116455099,0.01673853170833985
增量关税优惠幅度,tariff_relief,157,0.21750237883925114,0.0709495880750353,0.015431704183985144
增量关税优惠幅度,tariff_relief,158,0.21597592591349316,0.08507764396024847,0.01837472292885317
增量关税优惠幅度,tariff_relief,159,0.2185074348345819,0.07559045262592083,0.016517075901274946
增量关税优惠幅度,tariff_relief,160,0.22071508214855565,0.0883052938262919,0.01949031018102236
增量关税优惠幅度,tariff_relief,161,0.21905957173208956,0.07273591950752648,0.01593349937685849
增量关税优惠幅度,tariff_relief,162,0.21914639213207968,0.10107896248657243,0.022151089949386173
增量关税优惠幅度,tariff_relief,163,0.21909445993322066,0.09203732162798724,0.020164867275783992
增量关税优惠幅度,tariff_relief,164,0.22096060616383148,0.057049255702752835,0.012605638121275686
增量关税优惠幅度,tariff_relief,165,0.2207213723725281,0.07377794210521901,0.016284368632284864
增量关税优惠幅度,tariff_relief,166,0.2190729563470427,0.08080487750398116,0.017702163402057797
增量关税优惠幅度,tariff_relief,167,0.21739621593621636,0.06616759257259676,0.01438458424289183
增量关税优惠幅度,tariff_relief,168,0.21779355693670896,0.040251516409388614,0.008766520930897054
增量关税优惠幅度,tariff_relief,169,0.21810061621470334,0.05413972556610907,0.011807907507663317
增量关税优惠幅度,tariff_relief,170,0.21985690946569073,0.06089840162205355,0.013388934372025102
增量关税优惠幅度,tariff_relief,171,0.220777231404824,0.07849240695630391,0.017329336294113526
增量关税优惠幅度,tariff_relief,172,0.2182070700454751,0.07600695531424531,0.016585255022198823
增量关税优惠幅度,tariff_relief,173,0.21863966288004075,0.0474319738587603,0.010370510774214258
增量关税优惠幅度,tariff_relief,174,0.21561897225710647,0.09433729705049727,0.020340911035541583
增量关税优惠幅度,tariff_relief,175,0.22136891659616179,0.054906154941143835,0.012154516033782006
增量关税优惠幅度,tariff_relief,176,0.2192568857931914,0.07953843624862975,0.017439349832734846
增量关税优惠幅度,tariff_relief,177,0.2199655422114696,0.06585933363798128,0.014486784033364633
增量关税优惠幅度,tariff_relief,178,0.2181380883492225,0.06089663547956319,0.013283875650411352
增量关税优惠幅度,tariff_relief,179,0.21728553740921452,0.03753303161396031,0.008155384944836403
增量关税优惠幅度,tariff_relief,180,0.2209255293850146,0.06140337992351142,0.013565574215630939
增量关税优惠幅度,tariff_relief,181,0.21922898604615657,0.07116886023243263,0.01560227706681684
增量关税优惠幅度,tariff_relief,182,0.21883009858307043,0.1042690046059915,0.022817196557087745
增量关税优惠幅度,tariff_relief,183,0.21919331251762034,0.05496556352386998,0.012048083943194746
增量关税优惠幅度,tariff_relief,184,0.21696433705556653,0.0656617367408779,0.014246255181901708
增量关税优惠幅度,tariff_relief,185,0.21818454973483098,0.06633804093960627,0.014473935592698777
增量关税优惠幅度,tariff_relief,186,0.2204327791367493,0.09893970675952597,0.02180955452797733
增量关税优惠幅度,tariff_relief,187,0.21642306058303137,0.05127863098257489,0.011097878259756715
增量关税优惠幅度,tariff_relief,188,0.21621185410459437,0.07625541078636972,0.01648732375162848
增量关税优惠幅度,tariff_relief,189,0.21755271801381026,0.061362546528528496,0.013349588781530272
增量关税优惠幅度,tariff_relief,190,0.21936091602561184,0.056472837808864765,0.012387933432318381
增量关税优惠幅度,tariff_relief,191,0.22058583886708807,0.09171128507403271,0.02023021075163416
增量关税优惠幅度,tariff_relief,192,0.21755348908189823,0.07127613602471047,0.015506372080451743
增量关税优惠幅度,tariff_relief,193,0.21755839586969045,0.07195272777083839,0.015653920032272128
增量关税优惠幅度,tariff_relief,194,0.21792478452164504,0.03561333441975632,0.007761028229522682
增量关税优惠幅度,tariff_relief,195,0.21656665759745794,0.0686812594395468,0.014874070796406506
增量关税优惠幅度,tariff_relief,196,0.22107573210323944,0.08094209587683636,0.017894333103942197
增量关税优惠幅度,tariff_relief,197,0.2165456183578909,0.06071308021906131,0.013147151498448867
增量关税优惠幅度,tariff_relief,198,0.2148364354967399,0.06223327141799943,0.013369974200744142
增量关税优惠幅度,tariff_relief,199,0.2187460574488408,0.07170453586126153,0.01568508452084998
增量关税优惠幅度,tariff_relief,200,0.22366272261687023,0.04898416316468321,0.010955931298522053
增量关税优惠幅度,tariff_relief,201,0.21723188352990824,0.09097250291936625,0.019762128158604005
增量关税优惠幅度,tariff_relief,202,0.22096756422505973,0.05558965518092877,0.012283510701440802
增量关税优惠幅度,tariff_relief,203,0.21579034487277887,0.062046858219439636,0.013389112933445293
增量关税优惠幅度,tariff_relief,204,0.22001584427268597,0.058824620440953476,0.01294234853033668
增量关税优惠幅度,tariff_relief,205,0.22117330641351676,0.08032542091616088,0.017765838933084758
增量关税优惠幅度,tariff_relief,206,0.219110432237108,0.08203859250049618,0.017975511462907684
增量关税优惠幅度,tariff_relief,207,0.22293841864440803,0.06500273442136467,0.01449160681946147
增量关税优惠幅度,tariff_relief,208,0.2188104676669313,0.055310899822622675,0.012102603857266855
增量关税优惠幅度,tariff_relief,209,0.22133931161379333,0.06620301992510362,0.01465333085697668
增量关税优惠幅度,tariff_relief,210,0.21955948748996362,0.06150799048493795,0.013504662867410535
增量关税优惠幅度,tariff_relief,211,0.21668874073118022,0.044669912393479845,0.009679467065115289
增量关税优惠幅度,tariff_relief,212,0.21874096953898992,0.0793715028733513,0.01736179949228359
增量关税优惠幅度,tariff_relief,213,0.21981049144945733,0.04500502027348363,0.009892575624007227
增量关税优惠幅度,tariff_relief,214,0.21890948317776857,0.0803264438793303,0.017584220315132227
增量关税优惠幅度,tariff_relief,215,0.21969765691527413,0.05120134858769279,0.011248816315618287
增量关税优惠幅度,tariff_relief,216,0.22001072896226248,0.07613467373010968,0.016750445066665447
增量关税优惠幅度,tariff_relief,217,0.21866862177829796,0.08934784103550117,0.019537569258099494
增量关税优惠幅度,tariff_relief,218,0.2182825605323813,0.06956998502369166,0.015185914467170835
增量关税优惠幅度,tariff_relief,219,0.2169008542970014,0.10218129731972223,0.02216321068182365
增量关税优惠幅度,tariff_relief,220,0.21690663170275828,0.08444141877450234,0.01831590372257936
增量关税优惠幅度,tariff_relief,221,0.2202225731244795,0.045975756972271915,0.01012489950177945
增量关税优惠幅度,tariff_relief,222,0.21943352339799876,0.0827960197897908,0.018168222345804227
增量关税优惠幅度,tariff_relief,223,0.21849910550322432,0.06629843879673288,0.014486149573346397
增量关税优惠幅度,tariff_relief,224,0.21643712859812783,0.06252494954871829,0.013532720546067396
增量关税优惠幅度,tariff_relief,225,0.22089861261118593,0.07573221295318047,0.01672914077133245
增量关税优惠幅度,tariff_relief,226,0.22065695573652003,0.0690303204135742,0.015232020355975836
增量关税优惠幅度,tariff_relief,227,0.2209722203837697,0.052563016618286294,0.011614966492211708
增量关税优惠幅度,tariff_relief,228,0.21967698900993773,0.06255364842768149,0.013741597138179296
增量关税优惠幅度,tariff_relief,229,0.21920433749887783,0.06902909392022111,0.015131476800929883
增量关税优惠幅度,tariff_relief,230,0.2205705069870376,0.06663658425662468,0.014698065173368153
增量关税优惠幅度,tariff_relief,231,0.2198444927778498,0.0842502141132665,0.018521945588156313
增量关税优惠幅度,tariff_relief,232,0.2188130858783159,0.10054268186928428,0.022000054482299896
增量关税优惠幅度,tariff_relief,233,0.21867080909121664,0.07045038213757346,0.015405442062808585
增量关税优惠幅度,tariff_relief,234,0.2150385755853391,0.04296937852929757,0.009240073952727402
增量关税优惠幅度,tariff_relief,235,0.21661637095679617,0.05581631383295266,0.012090727342679826
增量关税优惠幅度,tariff_relief,236,0.2211675993960013,0.07993071339760006,0.017678084000157007
增量关税优惠幅度,tariff_relief,237,0.21631440640720123,0.08046348337027362,0.017405410642696444
增量关税优惠幅度,tariff_relief,238,0.21754942261289012,0.07587602803488597,0.016506786089148906
增量关税优惠幅度,tariff_relief,239,0.2195239742789511,0.06448116237652876,0.01415516103102197
增量关税优惠幅度,tariff_relief,240,0.2204191673111273,0.04680627498945017,0.01031700015811025
增量关税优惠幅度,tariff_relief,241,0.21954408863348251,0.08347309935533694,0.018326025523379585
增量关税优惠幅度,tariff_relief,242,0.2203127475556845,0.09440230022847455,0.020798030138911853
增量关税优惠幅度,tariff_relief,243,0.21757211387107153,0.07182674193987278,0.01562749607633007
增量关税优惠幅度,tariff_relief,244,0.22023322730774741,0.05179666425677202,0.011407346533044748
增量关税优惠幅度,tariff_relief,245,0.21932506947041538,0.05019334254585149,0.011008658340821235
增量关税优惠幅度,tariff_relief,246,0.2176856734359298,0.09276639579801302,0.020193915341514473
增量关税优惠幅度,tariff_relief,247,0.21906647954938727,0.07170582915976352,0.015708343557199193
增量关税优惠幅度,tariff_relief,248,0.2189354442475338,0.06607495267225967,0.014466149116935941
增量关税优惠幅度,tariff_relief,249,0.2152485859846853,0.06078105963929231,0.013083037142008496
增量关税优惠幅度,tariff_relief,250,0.21847605826023256,0.06115972384515971,0.013361935389974848
增量关税优惠幅度,tariff_relief,251,0.22090042406064103,0.055741882938624615,0.012313405579080788
增量关税优惠幅度,tariff_relief,252,0.2159134259978623,0.0629076954450654,0.013582616045174188
增量关税优惠幅度,tariff_relief,253,0.22035090222130638,0.06727799774762887,0.01482476750333304
增量关税优惠幅度,tariff_relief,254,0.2109676505305243,0.07444160114604632,0.015704769695511777
增量关税优惠幅度,tariff_relief,255,0.22060398062655298,0.07483811216189325,0.016509585445490096
增量关税优惠幅度,tariff_relief,256,0.21990095577512553,0.0619764953139042,0.013628690555120122
增量关税优惠幅度,tariff_relief,257,0.2196056043313899,0.10056153102544504,0.022083875793332673
增量关税优惠幅度,tariff_relief,258,0.2185972993612859,0.06894631073184994,0.015071477326906441
增量关税优惠幅度,tariff_relief,259,0.21976544088878824,0.07481254000114426,0.016441210837361574
增量关税优惠幅度,tariff_relief,260,0.21865546446463283,0.059681935418816744,0.013049781309149596
增量关税优惠幅度,tariff_relief,261,0.22149107818809474,0.07228601257385966,0.01601070686290235
增量关税优惠幅度,tariff_relief,262,0.21944535181608765,0.05672112755771414,0.012447187792307765
增量关税优惠幅度,tariff_relief,263,0.21689998167763364,0.05171527136813882,0.011217041412203161
增量关税优惠幅度,tariff_relief,264,0.2198232216714463,0.06642131490369906,0.014600947429784777
增量关税优惠幅度,tariff_relief,265,0.2174698364733274,0.10103138303491839,0.021971278347277808
增量关税优惠幅度,tariff_relief,266,0.219993344470527,0.07243595086293167,0.015935427090239096
增量关税优惠幅度,tariff_relief,267,0.21798985011972594,0.05288802876124164,0.01152905346279082
增量关税优惠幅度,tariff_relief,268,0.21793627524319445,0.08360128910462404,0.018219753552991217
增量关税优惠幅度,tariff_relief,269,0.21694610952506324,0.061362267656644744,0.013312305239744696
增量关税优惠幅度,tariff_relief,270,0.21839602003379224,0.061496373595994885,0.01343056323987647
增量关税优惠幅度,tariff_relief,271,0.21896501665949017,0.0542632149566012,0.011881745766969678
增量关税优惠幅度,tariff_relief,272,0.21985771261685808,0.08732674749258654,0.01919945895399002
增量关税优惠幅度,tariff_relief,273,0.21741366919389832,0.09041592808191322,0.01965765867786038
增量关税优惠幅度,tariff_relief,274,0.21903912493235583,0.07479991376750621,0.016384107656650236
增量关税优惠幅度,tariff_relief,275,0.21832503270297335,0.07270283885034876,0.015872849669601393
增量关税优惠幅度,tariff_relief,276,0.21648625425413648,0.07152342655910979,0.0154838387072025
增量关税优惠幅度,tariff_relief,277,0.2190237304810211,0.05334827551292555,0.011684538317570265
增量关税优惠幅度,tariff_relief,278,0.21538599168614173,0.07280495104694587,0.01568116658090744
增量关税优惠幅度,tariff_relief,279,0.2192481744598952,0.06760749527838764,0.014822819919592473
增量关税优惠幅度,tariff_relief,280,0.22054577844275816,0.07152811052288009,0.015775222815808232
增量关税优惠幅度,tariff_relief,281,0.21836216790664864,0.05710662042156356,0.012469925437074711
增量关税优惠幅度,tariff_relief,282,0.2200211581543137,0.06810507259950299,0.014984556949526264
增量关税优惠幅度,tariff_relief,283,0.21776414523809504,0.08642726685296524,0.01882075989150072
增量关税优惠幅度,tariff_relief,284,0.21771166415741644,0.04593259635709291,0.01000006199197358
增量关税优惠幅度,tariff_relief,285,0.2203648251477171,0.08434133031427718,0.018585862507431543
增量关税优惠幅度,tariff_relief,286,0.21762357808647603,0.07101352607639241,0.015454217637281786
增量关税优惠幅度,tariff_relief,287,0.2209444643076066,0.07609173920395268,0.016812048556651433
增量关税优惠幅度,tariff_relief,288,0.22113215903682487,0.08860176166044306,0.019592698850439946
增量关税优惠幅度,tariff_relief,289,0.21752592867065912,0.0530995527593139,0.011550529525966415
增量关税优惠幅度,tariff_relief,290,0.2190499137748766,0.048857594787185765,0.010702251925380902
增量关税优惠幅度,tariff_relief,291,0.21857705870563898,0.06362005581364574,0.013905884674435274
增量关税优惠幅度,tariff_relief,292,0.21679455773766157,0.07455723280322514,0.016163602311719066
增量关税优惠幅度,tariff_relief,293,0.22147131014226937,0.06254282455744142,0.01385144129473465
增量关税优惠幅度,tariff_relief,294,0.2198722155355753,0.08305940032054733,0.018262454369535015
增量关税优惠幅度,tariff_relief,295,0.21875332218558088,0.09058136493402859,0.019814974507423234
增量关税优惠幅度,tariff_relief,296,0.21635704764237404,0.08406016135251511,0.01818700833457176
