"doi","title","year","categories","source_files","openalex_is_oa","pdf_url","status","error"
"10.1016/j.asieco.2021.101419","","","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2022.101442","The other trade war: Quantifying the Korea–Japan trade dispute","2022","05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2022.101456","The impact of regional trade agreements on the quality of export products in China’s manufacturing industry","2022","00_近期文献; 05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2022.101513","Behind the heterogeneous trade effects of standards: Multi-sector evidence from China","2022","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2022.101514","Rules of origin and exports in developing economies: The case of garment products","2022","00_近期文献; 05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2022.101528","Trade policy uncertainty, development strategy, and export behavior: Evidence from listed industrial companies in China","2022","00_近期文献; 05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2022.101532","Understanding the role of trade agreements in Indonesia’s FDI","2022","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","http://raiith.iith.ac.in/10339/1/Asian_Economics.pdf","download_failed","An error occurred while sending the request."
"10.1016/j.asieco.2022.101572","Impact of the Internet on the exports in ocean-based manufacturing: Firm-level evidence from China","2022","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2023.101591","Tracing the regional dual value chains: Measurement on the production position and evidence from China","2023","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2023.101610","Firm-level Utilization Rates of Regional Trade Agreements: Importers’ Perspective","2023","00_近期文献; 05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2023.101621","Higher education expansion and domestic value added in exports: Theory and evidence from China","2023","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2023.101636","Tariff cost and cross-border M&A affiliate sales: Evidence from China","2023","00_近期文献; 05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2023.101647","Estimating the effects of regional value chains of the RCEP in a GVC-CGE model","2023","00_近期文献; 05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2023.101648","Local earthquakes and households’ risk-taking: Evidence from the China Household Finance Survey","2024","04_原产地累积","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\04_原产地累积规则_制度特性.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2023.101664","Trade with innovation benefits: A re-appraisal using micro data from China","2023","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2023.101672","","","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2023.101676","Trade and employment in the formal and informal sectors: A natural experiment from Cambodia","2023","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2023.101690","Do export tax rebates promote firm upgrading? Evidences from labor-intensive firms in China","2023","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2024.101708","The impact of global value chain restructuring on the product structure of China-EU exports","2024","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2024.101718","Processing export and firms’ social security contributions in China: The role of supply chain pressure","2024","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2024.101737","Can export trade drive green transformation development of Chinese enterprises? based on the dual perspectives of export density and export domestic value-added rate","2024","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2024.101742","","","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2024.101826","Data policy restrictions and cross-border E-commerce: Evidence from China","2024","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2024.101844","Cross-border personnel mobility and bilateral value chain linkages: Evidence from visa liberalization in China","2024","00_近期文献; 05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","True","https://doi.org/10.1016/j.asieco.2024.101844","oa_link_not_pdf",""
"10.1016/j.asieco.2024.101849","The Belt and Road Initiative and China's diversifying food imports: A perspective on the ""Five-pronged approach""","2024","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2024.101870","Financing constraints and the export partnerships with RCEP: Evidence from manufacturing firms in China","2024","00_近期文献; 01_RCEP实证; 05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\01_RCEP_实证文献空白.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2024.101872","Rules of Origin, Import of Inputs and Firm Innovation","2024","00_近期文献; 04_原产地累积; 05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\04_原产地累积规则_制度特性.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2025.101903","Import demand, digital empowerment and firm innovation","2025","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2025.101980","Understanding the product structure of exporters: The role of intellectual property protection in export origins","2025","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2025.102010","Ordinary exports or processing exports? The role of industrial robots on the choice of export modes","2025","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2025.102013","Economic impact of agricultural trade liberalization under the CPTPP and China’s policy response","2025","05G_JAE与期刊","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\G_JAE竞争与适配.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2025.102014","The direct and indirect effects of trade policy uncertainty on the volatility of world agricultural prices","2025","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2025.102048","Environmental provisions in preferential trade agreements and export product quality of Chinese firms","2025","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2025.102053","The employment effects of regional market integration: Evidence from China","2025","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2025.102108","Institutional governance and energy security: Unveiling the drivers of global value chain participation in Asian economies","2026","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2026.102128","Multidimensional Risks and the cleaner production-oriented trade transformation in the China–ASEAN","2026","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2026.102131","Cross-Border E-Commerce Comprehensive Pilot Zones and urban entrepreneurial activity: Causal evidence from double-debiased machine learning","2026","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2026.102144","A study on the impact of Regional Trade Agreement digital trade rules on global innovation network","2026","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2026.102175","Digital finance, supply chain spillovers and corporate innovation: Evidence from Chinese listed firms 2011–22","2026","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.asieco.2026.102218","Digital economy development and repositioning in the global intermediate goods trade network","2026","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.chieco.2008.08.003","Intra-Industry Trade and tariff rates of Korea and China","2008","05E_中日韩FTA","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\E_中日韩三边FTA.md","False","","no_free_pdf_found",""
"10.1016/j.chieco.2014.04.002","A panel data analysis of trade creation and trade diversion effects: The case of ASEAN–China Free Trade Area","2014","05B_来源再配置","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\B_来源再配置HHI.md","True","https://www.sciencedirect.com/science/article/pii/S1043951X14000285","download_failed","Response status code does not indicate success: 403 (Forbidden)."
"10.1016/j.chieco.2016.02.001","China and WTO liberalization: Imports, tariffs and non-tariff barriers","2016","05B_来源再配置","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\B_来源再配置HHI.md","False","","no_free_pdf_found",""
"10.1016/j.chieco.2025.102483","Import diversification, market risk co-movement and Agri-food supply chain resilience","2025","05B_来源再配置","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\B_来源再配置HHI.md","False","","no_free_pdf_found",""
"10.1016/j.chieco.2026.102677","","","01_RCEP实证; 05B_来源再配置; 05D_贸易便利化","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\01_RCEP_实证文献空白.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\B_来源再配置HHI.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\D_便利化调节效应.md","False","","no_free_pdf_found",""
"10.1016/j.chieco.2026.102743","Quantifying the Global Value Chain and Welfare Effects of RCEP: Implications for the U.S.-China Trade Frictions","2026","01_RCEP实证","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\01_RCEP_实证文献空白.md","False","","no_free_pdf_found",""
"10.1016/j.cjar.2023.100326","","","05B_来源再配置","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\B_来源再配置HHI.md","False","","no_free_pdf_found",""
"10.1016/j.econlet.2024.112009","Supply chain adjustments to tariff shocks: Evidence from firm trade linkages in the 2018-2019 U.S. trade war","2024","02_网络结构","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\02_网络结构_结果变量文献.md","False","","no_free_pdf_found",""
"10.1016/j.econlet.2024.112138","Intermediate import diversification, knowledge source diversity and firm innovation: Micro-level evidence from Chinese listed companies","2024","05A_中间品累积; 05B_来源再配置","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\A_中间品累积规则.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\B_来源再配置HHI.md","False","","no_free_pdf_found",""
"10.1016/j.ememar.2026.101471","The impact of global regional trade agreement network centrality on exports","2026","01_RCEP实证","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\01_RCEP_实证文献空白.md","False","","no_free_pdf_found",""
"10.1016/j.frl.2023.104117","Supplier geographical concentration and corporate innovation","2023","02_网络结构","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\02_网络结构_结果变量文献.md","False","","no_free_pdf_found",""
"10.1016/j.frl.2023.104459","Does supply chain network centrality affect firm cost stickiness?","2023","02_网络结构","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\02_网络结构_结果变量文献.md","False","","no_free_pdf_found",""
"10.1016/j.gfj.2024.100959","Trade openness and income inequality: The moderating role of institutional quality","2024","05D_贸易便利化","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\D_便利化调节效应.md","False","","no_free_pdf_found",""
"10.1016/j.heliyon.2023.e21090","","","04_原产地累积","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\04_原产地累积规则_制度特性.md","False","","no_free_pdf_found",""
"10.1016/j.ijpe.2025.109727","The effect of customer and supplier concentration on firm productivity: The moderating role of the firm's dominant position in the supply chain network","2025","02_网络结构","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\02_网络结构_结果变量文献.md","False","","no_free_pdf_found",""
"10.1016/j.inteco.2026.100700","Do exports to the US increase imports from China during the US–China tariff war?","2026","05B_来源再配置","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\B_来源再配置HHI.md","False","","no_free_pdf_found",""
"10.1016/j.jia.2024.11.035","","","01_RCEP实证; 04_原产地累积","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\01_RCEP_实证文献空白.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\04_原产地累积规则_制度特性.md","False","","no_free_pdf_found",""
"10.1016/j.jinteco.2022.103688","Third-country effects of regional trade agreements: A firm-level analysis","2022","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","True","http://documents.worldbank.org/curated/en/110561574281995016/pdf/Third-Country-Effects-of-Regional-Trade-Agreements-A-Firm-Level-Analysis.pdf","download_failed","Operation is not valid due to the current state of the object."
"10.1016/j.jinteco.2023.103793","Within firm supply chains: Evidence from India","2023","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.jinteco.2024.103909","Firm Input Choice Under Trade Policy Uncertainty","2020","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","True","http://www.nber.org/papers/w27910.pdf","downloaded",""
"10.1016/j.jinteco.2024.103911","","","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.jinteco.2025.104078","","","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","False","","no_free_pdf_found",""
"10.1016/j.socnet.2023.01.008","Impact of the tariff concessions of the RCEP agreement on the structure and evolution mechanism of manufacturing trade networks","2023","05C_中日首次FTA; 05E_中日韩FTA","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\C_中日首次FTA.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\E_中日韩三边FTA.md","False","","no_free_pdf_found",""
"10.1016/j.worlddev.2023.106371","Imports, supply chains and firm productivity","2023","00_近期文献","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\paper\paper_v2\literature\recent_literature_2022_2026.md","True","https://curis.ku.dk/ws/files/399111955/1_s2.0_S0305750X23001894_main.pdf","downloaded",""
"10.1017/cbo9781316676493.006","Trade facilitation under the regional trade agreement umbrella:","2016","05D_贸易便利化","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\D_便利化调节效应.md","False","","no_free_pdf_found",""
"10.1017/s1474745623000125","","","05A_中间品累积","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\A_中间品累积规则.md","False","","no_free_pdf_found",""
"10.1017/s1598240800007177","","","05B_来源再配置","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\B_来源再配置HHI.md","False","","no_free_pdf_found",""
"10.1051/shsconf/202316901010","","","01_RCEP实证; 05A_中间品累积; 05F_累积规则与中日韩","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\01_RCEP_实证文献空白.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\A_中间品累积规则.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\F_累积规则与中日韩.md","False","","no_free_pdf_found",""
"10.1051/shsconf/202316901014","","","05C_中日首次FTA; 05E_中日韩FTA","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\C_中日首次FTA.md; C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\E_中日韩三边FTA.md","False","","no_free_pdf_found",""
"10.1057/9780230227309_4","","","05F_累积规则与中日韩","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\F_累积规则与中日韩.md","False","","no_free_pdf_found",""
"10.1080/00036846.2023.2210826","","","02_网络结构","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\02_网络结构_结果变量文献.md","False","","no_free_pdf_found",""
"10.1080/00036846.2026.2718442","How does supply chain network centrality affect supply chain resilience: an empirical study of Chinese listed firms","2026","02_网络结构","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP_JAE_修订\文献调研\02_网络结构_结果变量文献.md","False","","no_free_pdf_found",""
"10.1080/09638199.2021.1880467","","","05A_中间品累积","C:\Users\97328\Desktop\学习\论文、项目\供应链冲击\RCEP选题探索\文献调研\A_中间品累积规则.md","False","","no_free_pdf_found",""
