draw,beta,assignment
33,-0.0004984191095245743,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:0;MM:2022;MN:2022;MY:2022;NZ:0;PH:2022;PK:2022;SG:2022;TH:2023;TW:2023;VN:0
34,-0.0017283159890618294,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:0;MN:0;MY:2022;NZ:2022;PH:2023;PK:2023;SG:0;TH:2022;TW:2022;VN:2022
35,-0.004998717106494447,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:0;MN:2023;MY:2022;NZ:0;PH:2022;PK:0;SG:2023;TH:2022;TW:2022;VN:2022
36,0.00262343115660071,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:2023;MN:0;MY:2022;NZ:2022;PH:2023;PK:0;SG:2022;TH:2022;TW:0;VN:2022
37,-0.003246259616974819,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:2023;MN:2023;MY:2022;NZ:0;PH:2022;PK:0;SG:0;TH:2022;TW:2022;VN:2022
38,-0.004519595396652815,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:2022;KR:2022;LA:2023;LK:2022;MM:2022;MN:2023;MY:0;NZ:0;PH:2022;PK:2022;SG:2022;TH:0;TW:2022;VN:2022
39,-0.0030649939285055127,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2022;KH:2022;KR:2023;LA:2022;LK:2022;MM:0;MN:2022;MY:2022;NZ:0;PH:0;PK:2022;SG:2022;TH:2022;TW:2022;VN:2023
40,-0.0036898082367584103,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2023;KH:2022;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:2023;NZ:0;PH:0;PK:0;SG:2022;TH:2022;TW:2022;VN:2022
41,-0.0034416746567937193,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2022;JP:2023;KH:2022;KR:2023;LA:0;LK:2022;MM:2022;MN:0;MY:0;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
42,0.0004884774237484057,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2023;JP:0;KH:2022;KR:0;LA:2022;LK:2022;MM:0;MN:2022;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2023;TW:2022;VN:2022
43,-0.003531313454416236,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2023;JP:2022;KH:2022;KR:0;LA:0;LK:0;MM:2022;MN:2023;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
44,-0.0030863897911002926,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2023;JP:2022;KH:2023;KR:2022;LA:2022;LK:2022;MM:2022;MN:0;MY:2022;NZ:0;PH:2022;PK:2022;SG:2022;TH:0;TW:2022;VN:2022
45,-0.002464182807092705,AU:0;BD:0;BN:0;HK:0;ID:2022;IN:2023;JP:2023;KH:2022;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:0;NZ:2022;PH:0;PK:0;SG:2022;TH:2022;TW:2022;VN:2022
46,0.006988100241381718,AU:0;BD:0;BN:0;HK:0;ID:2023;IN:2022;JP:0;KH:0;KR:2022;LA:2022;LK:2022;MM:2022;MN:2023;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2022;TW:0;VN:2022
47,0.00031860460876976745,AU:0;BD:0;BN:0;HK:0;ID:2023;IN:2022;JP:0;KH:2022;KR:0;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:2023;PH:0;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
48,0.0013435751139825218,AU:0;BD:0;BN:0;HK:0;ID:2023;IN:2022;JP:0;KH:2022;KR:2022;LA:2022;LK:0;MM:2022;MN:2022;MY:2022;NZ:0;PH:2022;PK:2023;SG:2022;TH:2022;TW:2022;VN:2022
49,0.007078658457300962,AU:0;BD:0;BN:0;HK:0;ID:2023;IN:2022;JP:0;KH:2022;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:0;PH:2023;PK:2022;SG:2022;TH:2022;TW:0;VN:2022
50,-0.004264990717435133,AU:0;BD:0;BN:0;HK:0;ID:2023;IN:2022;JP:2022;KH:2022;KR:0;LA:0;LK:2022;MM:0;MN:2022;MY:2022;NZ:2022;PH:2023;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
51,-0.003106485079467329,AU:0;BD:0;BN:0;HK:0;ID:2023;IN:2022;JP:2022;KH:2022;KR:2022;LA:0;LK:2022;MM:2022;MN:2022;MY:0;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2023;TW:2022;VN:0
52,-0.002245441862537363,AU:0;BD:0;BN:0;HK:0;ID:2023;IN:2022;JP:2022;KH:2022;KR:2023;LA:2022;LK:0;MM:2022;MN:2022;MY:0;NZ:2022;PH:2022;PK:2022;SG:2022;TH:0;TW:2022;VN:2022
53,0.00039435767205844787,AU:0;BD:0;BN:0;HK:0;ID:2023;IN:2023;JP:0;KH:2022;KR:0;LA:2022;LK:2022;MM:2022;MN:0;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
54,0.00222405849764808,AU:0;BD:0;BN:0;HK:0;ID:2023;IN:2023;JP:0;KH:2022;KR:2022;LA:2022;LK:2022;MM:0;MN:2022;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2022;TH:0;TW:2022;VN:2022
55,0.0004839878373832964,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:0;JP:0;KH:2022;KR:2022;LA:2022;LK:2023;MM:2022;MN:2022;MY:2022;NZ:0;PH:2022;PK:2023;SG:2022;TH:2022;TW:2022;VN:2022
56,0.006610897094154135,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:0;JP:0;KH:2022;KR:2022;LA:2022;LK:2023;MM:2022;MN:2022;MY:2023;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2022;TW:0;VN:2022
57,-0.0022750127502403207,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:0;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:2023;MN:2022;MY:0;NZ:2022;PH:2022;PK:2022;SG:0;TH:2022;TW:2022;VN:2023
58,-0.0036271095196595726,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:0;JP:2022;KH:2022;KR:2022;LA:2022;LK:2023;MM:2022;MN:0;MY:0;NZ:2022;PH:2023;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
59,-0.0024854748946936327,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:0;JP:2022;KH:2022;KR:2022;LA:2022;LK:2023;MM:2022;MN:2022;MY:2023;NZ:2022;PH:0;PK:2022;SG:2022;TH:0;TW:2022;VN:2022
60,0.0029458815702420303,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:0;JP:2022;KH:2023;KR:2023;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:0;PH:2022;PK:2022;SG:2022;TH:2022;TW:0;VN:2022
61,-0.0014897032579263233,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:0;JP:2023;KH:2022;KR:2022;LA:2022;LK:0;MM:2023;MN:0;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
62,-0.0005221478461177229,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:0;KH:0;KR:2022;LA:2022;LK:2023;MM:2022;MN:2022;MY:2022;NZ:2023;PH:0;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
63,0.0013735326232575727,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:0;KH:2022;KR:2022;LA:2022;LK:2022;MM:0;MN:0;MY:2022;NZ:2022;PH:2022;PK:2023;SG:2022;TH:2022;TW:2023;VN:2022
64,-0.00077185606537791,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:0;KH:2022;KR:2023;LA:0;LK:2022;MM:2022;MN:2022;MY:2022;NZ:2022;PH:2022;PK:0;SG:2022;TH:2022;TW:2022;VN:2023
65,-0.0005343906635752886,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:0;KH:2022;KR:2023;LA:2022;LK:2022;MM:2022;MN:0;MY:2022;NZ:0;PH:2023;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
66,0.007407971669212077,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:0;KH:2022;KR:2023;LA:2023;LK:2022;MM:2022;MN:2022;MY:2022;NZ:2022;PH:2022;PK:2022;SG:0;TH:2022;TW:0;VN:2022
67,0.0067656733868864454,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:0;KH:2023;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:2023;PH:2022;PK:2022;SG:0;TH:2022;TW:0;VN:2022
68,0.001454500078662944,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:0;KH:2023;KR:2023;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:2022;PH:2022;PK:2022;SG:0;TH:2022;TW:2022;VN:0
69,-0.006749056632450921,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:0;KR:0;LA:2022;LK:2023;MM:2022;MN:2022;MY:2023;NZ:2022;PH:2022;PK:2022;SG:2022;TH:0;TW:2022;VN:2022
70,-0.002456057145194521,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:0;KR:2022;LA:0;LK:0;MM:2022;MN:2023;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2022;TW:2023;VN:2022
71,-0.004432901323741663,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:0;KR:2022;LA:0;LK:2022;MM:2022;MN:2022;MY:2023;NZ:2022;PH:0;PK:2022;SG:2022;TH:2023;TW:2022;VN:2022
72,-0.003588837395876972,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:0;KR:2022;LA:2022;LK:0;MM:2022;MN:2022;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2023;TH:2023;TW:2022;VN:0
73,0.0002720382128052776,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:0;KR:2022;LA:2022;LK:2022;MM:2022;MN:0;MY:2023;NZ:2022;PH:2022;PK:2022;SG:2023;TH:2022;TW:0;VN:2022
74,0.0008293289002124355,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:0;KR:2022;LA:2022;LK:2023;MM:0;MN:2023;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2022;TH:2022;TW:0;VN:2022
75,-0.003979986221955979,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:0;KR:2023;LA:2022;LK:2022;MM:0;MN:2022;MY:2022;NZ:2022;PH:2023;PK:2022;SG:2022;TH:2022;TW:2022;VN:0
76,-0.005721676954504033,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:0;LA:2022;LK:0;MM:2023;MN:2022;MY:2022;NZ:2022;PH:2022;PK:0;SG:2022;TH:2022;TW:2022;VN:2023
77,-0.0035020321279925965,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:0;LA:2022;LK:0;MM:2023;MN:2022;MY:2022;NZ:2022;PH:2023;PK:2022;SG:0;TH:2022;TW:2022;VN:2022
78,-0.005908604028310134,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:0;LA:2022;LK:2022;MM:0;MN:2022;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2023;TH:0;TW:2022;VN:2023
79,-0.004668686042066595,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:0;LA:2022;LK:2022;MM:2022;MN:2022;MY:2023;NZ:2022;PH:2022;PK:0;SG:2022;TH:0;TW:2023;VN:2022
80,-0.005079327869064427,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:0;LA:2022;LK:2023;MM:0;MN:2023;MY:2022;NZ:2022;PH:2022;PK:2022;SG:0;TH:2022;TW:2022;VN:2022
81,-0.0048048057877819895,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:0;LA:2023;LK:2022;MM:2022;MN:2022;MY:2022;NZ:0;PH:2022;PK:2022;SG:0;TH:2023;TW:2022;VN:2022
82,-0.002500121232379919,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:0;LK:0;MM:2022;MN:2022;MY:2022;NZ:2023;PH:2023;PK:2022;SG:0;TH:2022;TW:2022;VN:2022
83,-0.006212634213296515,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:0;LK:2022;MM:0;MN:2022;MY:2023;NZ:0;PH:2022;PK:2022;SG:2022;TH:2022;TW:2022;VN:2023
84,-0.0038721951480618338,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:0;MM:2022;MN:0;MY:0;NZ:2022;PH:2023;PK:2022;SG:2022;TH:2023;TW:2022;VN:2022
85,-0.0044207722336459775,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:0;MM:2023;MN:0;MY:0;NZ:2022;PH:2023;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
86,-0.003201040287159557,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:0;NZ:2022;PH:2023;PK:2023;SG:0;TH:2022;TW:2022;VN:0
87,0.0020120698303610985,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:2022;PH:2023;PK:0;SG:2022;TH:0;TW:0;VN:2023
88,0.0013708479408786399,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:2022;LK:2023;MM:2022;MN:2022;MY:0;NZ:2022;PH:2023;PK:2022;SG:2022;TH:0;TW:0;VN:2022
89,0.0030278278611056398,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:2022;LA:2023;LK:0;MM:2022;MN:2023;MY:2022;NZ:2022;PH:0;PK:2022;SG:2022;TH:2022;TW:0;VN:2022
90,-0.00465051562741112,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2022;KR:2023;LA:2022;LK:2022;MM:0;MN:0;MY:2022;NZ:0;PH:2022;PK:2022;SG:2022;TH:2023;TW:2022;VN:2022
91,0.0015820469951583352,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2023;KR:2022;LA:2022;LK:2022;MM:2022;MN:0;MY:2022;NZ:2022;PH:2022;PK:2022;SG:2023;TH:0;TW:0;VN:2022
92,-0.004104250331967162,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2022;KH:2023;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:0;PH:2023;PK:0;SG:0;TH:2022;TW:2022;VN:2022
93,0.0028558064878888107,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2023;KH:2022;KR:2022;LA:0;LK:2022;MM:2022;MN:2023;MY:2022;NZ:2022;PH:0;PK:2022;SG:2022;TH:2022;TW:0;VN:2022
94,-0.004278837014487878,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2023;KH:2022;KR:2022;LA:2022;LK:2022;MM:2022;MN:0;MY:2022;NZ:2022;PH:2022;PK:0;SG:2023;TH:0;TW:2022;VN:2022
95,-0.0014815408101415681,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2022;JP:2023;KH:2022;KR:2022;LA:2023;LK:0;MM:2022;MN:2022;MY:2022;NZ:2022;PH:2022;PK:2022;SG:0;TH:2022;TW:2022;VN:0
96,0.0017353290284310323,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2023;JP:2022;KH:0;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:0;PH:2023;PK:2022;SG:2022;TH:2022;TW:0;VN:2022
97,-0.005743591012307838,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2023;JP:2022;KH:2022;KR:0;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:0;PH:2022;PK:2022;SG:2023;TH:0;TW:2022;VN:2022
98,-0.0048628039460891104,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2023;JP:2022;KH:2022;KR:0;LA:2022;LK:2023;MM:2022;MN:0;MY:2022;NZ:2022;PH:0;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
99,-0.005573361034047499,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2023;JP:2022;KH:2022;KR:2022;LA:0;LK:2022;MM:2023;MN:2022;MY:0;NZ:0;PH:2022;PK:2022;SG:2022;TH:2022;TW:2022;VN:2022
100,-0.0031477569489783658,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2023;JP:2022;KH:2022;KR:2022;LA:2022;LK:0;MM:0;MN:2022;MY:2022;NZ:2023;PH:2022;PK:2022;SG:2022;TH:2022;TW:2022;VN:0
101,-0.004790251911247299,AU:0;BD:0;BN:0;HK:2022;ID:0;IN:2023;JP:2022;KH:2022;KR:2023;LA:2022;LK:2022;MM:2022;MN:0;MY:2022;NZ:0;PH:2022;PK:0;SG:2022;TH:2022;TW:2022;VN:2022
102,0.0033164904743399034,AU:0;BD:0;BN:0;HK:2022;ID:2022;IN:0;JP:0;KH:0;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:2022;PH:2023;PK:2022;SG:2022;TH:2022;TW:2023;VN:0
103,0.006482496997528879,AU:0;BD:0;BN:0;HK:2022;ID:2022;IN:0;JP:0;KH:2022;KR:2022;LA:0;LK:2022;MM:2022;MN:2022;MY:2022;NZ:2023;PH:2022;PK:2022;SG:2023;TH:2022;TW:0;VN:2022
104,0.003888912265370247,AU:0;BD:0;BN:0;HK:2022;ID:2022;IN:0;JP:0;KH:2022;KR:2022;LA:2022;LK:0;MM:2022;MN:2022;MY:2022;NZ:2023;PH:2022;PK:2022;SG:2022;TH:0;TW:2023;VN:2022
105,0.003222256493561222,AU:0;BD:0;BN:0;HK:2022;ID:2022;IN:0;JP:0;KH:2022;KR:2022;LA:2022;LK:2022;MM:2022;MN:2022;MY:2022;NZ:2022;PH:0;PK:0;SG:2022;TH:2022;TW:2023;VN:2023
